행정구역,2022년_총인구수,2022년_세대수,2022년_세대당 인구,2022년_남자 인구수,2022년_여자 인구수,2022년_남여 비율
제주특별자치도  (5000000000),678159 ,311355 ,2 ,339590 ,338569 ,1 
제주특별자치도 제주시 (5011000000),493389 ,222599 ,2 ,246504 ,246885 ,1 
제주특별자치도 서귀포시 (5013000000),184770 ,88756 ,2 ,93086 ,91684 ,1 
