행정구역,2008년_총인구수,2008년_세대수,2008년_세대당 인구,2008년_남자 인구수,2008년_여자 인구수,2008년_남여 비율
제주특별자치도  (5000000000),560618 ,214681 ,3 ,280088 ,280530 ,1 
제주특별자치도 제주시 (5011000000),407498 ,155398 ,3 ,203107 ,204391 ,1 
제주특별자치도 서귀포시 (5013000000),153120 ,59283 ,3 ,76981 ,76139 ,1 
