행정구역,2018년_총인구수,2018년_세대수,2018년_세대당 인구,2018년_남자 인구수,2018년_여자 인구수,2018년_남여 비율
제주특별자치도  (5000000000),667191 ,287104 ,2 ,335719 ,331472 ,1 
제주특별자치도 제주시 (5011000000),485946 ,204621 ,2 ,243974 ,241972 ,1 
제주특별자치도 서귀포시 (5013000000),181245 ,82483 ,2 ,91745 ,89500 ,1 
