행정구역,2013년_총인구수,2013년_세대수,2013년_세대당 인구,2013년_남자 인구수,2013년_여자 인구수,2013년_남여 비율
제주특별자치도  (5000000000),593806 ,238465 ,2 ,297504 ,296302 ,1 
제주특별자치도 제주시 (5011000000),438165 ,173370 ,3 ,219029 ,219136 ,1 
제주특별자치도 서귀포시 (5013000000),155641 ,65095 ,2 ,78475 ,77166 ,1 
